,fk_user,valor_emprestimo,best_propension,valor_disponivel_para_emprestimo,simulou,renda_bruta,v3_salario_1,v2_entradas_recorrentes_mediana,tem_carro,boavista_score_valor,boavista_score12_valor,gb0007_propensity_score,gb0020_propensity_score,tem_gb_emprestimo_vigente,date_diff,AMERICAN_EXPRESS,BANCO_BRADESCO,BANCO_CITIBANK,BANCO_DO_BRASIL,BANCO_INTER,BANCO_ITAUCARD,BANCO_ITAU_UNIBANCO,BANCO_ORIGINAL,BANCO_PAN,BANCO_SANTANDER,CAIXA_ECONOMICA_FEDERAL,CONTA_MANUAL,HSBC,NUBANK,VR_BENEFICIOS
boavista_score12_valor,-0.019487075565626167,0.09073012182472795,-0.16388045221513126,0.19793329099461426,0.16898585200608518,0.13626803631038586,0.11056954279730695,0.108601004012652,0.1594503462821558,0.8562598692364459,1.0,0.0005675053477534469,-0.07162504446215083,0.11633728884100027,-0.0498954899656218,0.03217403097069132,-0.01972816041543993,0.030682051887336498,0.08914091814883249,0.01264586433597654,0.0346167579653553,-0.08594253379146573,-0.0014612347959618178,,-0.04156956887570599,0.019066777007213494,-0.006529244985284296,0.009896165759854265,0.15245409210923624,
gb0007_propensity_score,0.036681126028244616,-0.005626407516741077,0.3118598397854857,-0.09606683511994997,0.04086959451754652,0.025787146768932546,-0.08198749060069956,0.04566013475969701,0.12192837122064,-0.03341659254265077,0.0005675053477534469,1.0,0.2716317955576519,0.05299780776415856,-0.11501981346630266,-0.008333878751378128,0.0024251232213388604,-0.008911383355064344,0.09949927343575272,0.010387169320556552,0.02582047168709026,-0.11900131578373004,0.0012572980759165036,,0.07071199673658354,0.03255363626902869,0.01668826197576377,-0.005937990139964178,0.0167853302655985,
gb0020_propensity_score,-0.01971750550031129,-0.04738427222184538,0.1595892944082711,-0.08417730227216585,0.17652994225232838,-0.04338010919937032,-0.09940109738102748,-0.05156861984233521,0.027059018490700436,-0.10986563686869241,-0.07162504446215083,0.2716317955576519,1.0,0.06274529161387499,-0.02894899548087447,-0.03080635216587766,-0.041521449446512364,-0.005523540304107832,-0.05096913157410644,-0.07466996380791445,-0.01433489486501771,0.08734170106723346,-0.0030862031693943814,,0.04535884041654395,-0.01988210662288959,-0.06039007945992924,-0.011162333790454271,-0.060448179135187685,
tem_gb_emprestimo_vigente,-0.034578950536237114,0.003500871355109624,0.014749676566975482,0.0051236534943146774,0.10020946839336069,0.03895864008157803,-0.016301078213449345,0.036412610981283844,0.0381647353142657,0.11030597148654948,0.11633728884100027,0.05299780776415856,0.06274529161387499,1.0,-0.14085057225122624,0.014885507743927702,-0.007253893208278969,0.01754785607387628,0.017936778642893184,0.03906882394936333,0.022044526506892457,0.004791348297043794,0.020020896499478864,,0.0539043554951184,0.03406895664773958,-0.029268940787341133,-0.0014143364908228877,0.0925122706259762,
date_diff,-0.33122506578631095,-0.0007506601990360244,-0.0011318200210461626,0.206062546835521,-0.12841091662127796,-0.07551177518973508,-0.023771390203438436,-0.060234335947857494,-0.06400414312071703,-0.017147080379825742,-0.0498954899656218,-0.11501981346630266,-0.02894899548087447,-0.14085057225122624,1.0,-0.029568731799971056,-0.155936021088807,-0.035812041106243364,0.07680033401797542,-0.11003369701339034,-0.04838258443823372,0.014769747335401897,-0.028938227831000883,,-0.2348047537463383,-0.13661850833252667,-0.19533902035798353,-0.02571777256036232,-0.18740223613073803,
AMERICAN_EXPRESS,-0.06787750444502999,0.014960242850337787,-0.008362420156314875,0.058096396453005135,0.0002688118954428082,0.09228976391736458,0.07881123667751516,0.06856014955380944,0.03494005351935599,0.03163248647805014,0.03217403097069132,-0.008333878751378128,-0.03080635216587766,0.014885507743927702,-0.029568731799971056,1.0,0.03254876752458517,0.12649528426412027,0.002455720038472658,0.016376640807641597,0.038600590524064955,0.0165805517508834,0.006415378825433288,,0.026666109287221903,0.03464728698983688,0.03982822892952813,0.02909211817924223,0.05157452343731808,
BANCO_BRADESCO,-0.000517136975102972,-0.004821076497380779,0.03412848384077345,-0.015971322046663333,-0.00878242489756759,0.03000321632258714,-0.00643682035658286,0.04084530182512245,-0.0018085331649092247,-0.04240689532668058,-0.01972816041543993,0.0024251232213388604,-0.041521449446512364,-0.007253893208278969,-0.155936021088807,0.03254876752458517,1.0,0.019968738541808594,-0.13932583725347977,0.07254955211146268,0.048391101388665585,-0.19937780723663837,0.022741285676236664,,0.004269162431990634,0.045167741751407725,0.11469754007878438,0.08332511060332648,0.08809807054918956,
BANCO_CITIBANK,-0.06581593675717977,0.009749146689847724,-0.026653504828577576,0.055482220227206676,0.010461385872042976,0.08149683891903076,0.08988102645834803,0.05136843787019516,0.03515009545684767,0.034020426734200145,0.030682051887336498,-0.008911383355064344,-0.005523540304107832,0.01754785607387628,-0.035812041106243364,0.12649528426412027,0.019968738541808594,1.0,0.0008241201257851522,0.008680494772905362,0.045940734443590085,0.0328781693258044,0.008935881220662696,,0.03487865195039398,0.030253020263461126,0.03516719324374742,0.02290054339014898,0.05414243732705215,
BANCO_DO_BRASIL,-0.11232364740482005,0.0010878167574359988,0.09486793007152142,-0.0005585504775113829,0.015538786341683127,0.02145639854838281,0.04726274858035673,0.031150304046933436,0.11860977676418955,0.0651706789409393,0.08914091814883249,0.09949927343575272,-0.05096913157410644,0.017936778642893184,0.07680033401797542,0.002455720038472658,-0.13932583725347977,0.0008241201257851522,1.0,0.033417145137790615,0.037484199314154164,-0.47563597575748884,0.00454107785397031,,-0.12314771023764506,0.010101672508311075,0.01073917116081522,-0.012056864366293897,0.023445663788959795,
BANCO_INTER,-0.040058566518275114,-0.0028174347750251376,-0.010176086539154286,-0.031310914147849346,0.010982945449798262,0.005548632709929877,-0.014369379255456513,0.014796778545788498,0.0063019999800872015,0.010062912282100916,0.01264586433597654,0.010387169320556552,-0.07466996380791445,0.03906882394936333,-0.11003369701339034,0.016376640807641597,0.07254955211146268,0.008680494772905362,0.033417145137790615,1.0,0.05746421641584559,-0.0028690384842791484,0.10418643577489031,,0.07794724297516074,0.1125603833203719,0.13737704679682594,0.017665996189349192,0.21023942670653942,
BANCO_ITAUCARD,-0.036728624153124556,0.0006089364950108552,0.0059451026218999715,-0.001820783459410024,0.019307838360033937,0.019356789262680404,0.009793937986652403,0.01153251997262888,0.024815509104961893,0.03276747730186522,0.0346167579653553,0.02582047168709026,-0.01433489486501771,0.022044526506892457,-0.04838258443823372,0.038600590524064955,0.048391101388665585,0.045940734443590085,0.037484199314154164,0.05746421641584559,1.0,-0.050720991481745914,0.02401572034322804,,0.03721822612320862,0.06503236903953945,0.06005974013318361,0.020912589936823506,0.0842909883399001,
BANCO_ITAU_UNIBANCO,-0.09387489099503331,0.013458782065191256,-0.18539401130302033,0.04396070366186205,-0.014817125810913783,0.01701341969447432,-0.0181460642099764,0.009540060293181572,-0.07722891011845966,-0.06314802570028978,-0.08594253379146573,-0.11900131578373004,0.08734170106723346,0.004791348297043794,0.014769747335401897,0.0165805517508834,-0.19937780723663837,0.0328781693258044,-0.47563597575748884,-0.0028690384842791484,-0.050720991481745914,1.0,0.01301093760889362,,-0.16508996938137027,-0.11693351041965591,-0.028183398480408697,0.0033084134876457732,0.014352944049124225,
